1847 North American typhus epidemic,North American Typhus Epidemic,1847,1847–1848,Canada,Typhus,"20,000+"
1847 Southern United States yellow fever epidemic,Southern United States Yellow Fever Epidemic,1847,1847,Southern United States (especially New Orleans),Yellow fever,"3,400"
1847–1848 influenza epidemic,Influenza Epidemic,1847,1847–1848,Worldwide,Influenza,Unknown
1848–1849 Hawaii epidemic of infections,Hawaii Epidemic Of Infections,1848,1848–1849,Hawaiian Kingdom,"Measles, whooping cough, dysentery and influenza","10,000"
1850–1851 North America influenza epidemic,North America Influenza Epidemic,1850,1850–1851,North America,Influenza,Unknown
1853 New Orleans yellow fever epidemic,New Orleans Yellow Fever Epidemic,1853,1853,"New Orleans, United States",Yellow fever,"7,970"
Third cholera pandemic,Third Cholera Pandemic,1846,1846–1860,Russia,Cholera,1 million+
1853 Ottoman Empire plague epidemic,Ottoman Empire Plague Epidemic,1853,1853,Ottoman Empire,Bubonic plague,Unknown
1853 Copenhagen cholera outbreak,Copenhagen Cholera Outbreak,1853,1853,"Copenhagen, Denmark",Cholera,"4,737"
1854 Broad Street cholera outbreak,Broad Street Cholera Outbreak,1854,1854,"London, England",Cholera,616
1855 Norfolk yellow fever epidemic,Norfolk Yellow Fever Epidemic,1855,1855,"Norfolk and Portsmouth, England",Yellow fever,"3,000 (2,000 in Norfolk, 1,000 in Portsmouth)"
Third plague pandemic,Third Plague Pandemic,1855,1855–1960,Worldwide,Bubonic plague,12 million+ in India and China alone
1857 Lisbon yellow fever epidemic,Lisbon Yellow Fever Epidemic,1857,1857,"Lisbon, Portugal",Yellow fever,"6,000"
1857 Victoria smallpox epidemic,Victoria Smallpox Epidemic,1857,1857,"Victoria, Australia",Smallpox,Unknown
1857–1859 Europe and the Americas influenza epidemic,Europe And The Americas Influenza Epidemic,1857,1857–1859,"Europe, North America, South America",Influenza,Unknown
1862–1863 British Columbia Smallpox epidemic,British Columbia Smallpox Epidemic,1862,1862–1863,"British Columbia, Canada",Smallpox,"32,000"
1861–1865 United States typhoid fever epidemic,United States Typhoid Fever Epidemic,1861,1861–1865,United States,Typhoid fever,"80,000"
Fourth cholera pandemic,Fourth Cholera Pandemic,1863,1863–1875,Middle East,Cholera,"600,000"
1867 Sydney measles epidemic,Sydney Measles Epidemic,1867,1867,"Sydney, Australia",Measles,748
1871 Buenos Aires yellow fever epidemic,Buenos Aires Yellow Fever Epidemic,1871,1871,"Buenos Aires, Argentina",Yellow fever,"13,500–26,200"
1870–1875 Europe smallpox epidemic,Europe Smallpox Epidemic,1870,1870–1875,Europe,Smallpox,"500,000"
1875 Fiji measles outbreak,Fiji Measles Outbreak,1875,1875,Fiji,Measles,"40,000"
1875–1876 Australia scarlet fever epidemic,Australia Scarlet Fever Epidemic,1875,1875–1876,Australia,Scarlet fever,"8,000"
1876 Ottoman Empire plague epidemic,Ottoman Empire Plague Epidemic,1876,1876,Ottoman Empire,Bubonic plague,"20,000"
1878 New Orleans yellow fever epidemic,New Orleans Yellow Fever Epidemic,1878,1878,"New Orleans, United States",Yellow fever,"4,046"
1878 Mississippi Valley yellow fever epidemic,Mississippi Valley Yellow Fever Epidemic,1878,1878,"Mississippi Valley, United States",Yellow fever,"13,000"
Fifth cholera pandemic,Fifth Cholera Pandemic,1881,1881–1896,"Asia, Africa, Europe, South America",Cholera,"298,600"
1885 Montreal smallpox epidemic,Montreal Smallpox Epidemic,1885,1885,"Montreal, Canada",Smallpox,"3,164"
1889–1890 flu pandemic,Flu Pandemic,1889,1889–1890,Worldwide,Influenza,1 million
Bombay plague epidemic,Bombay Plague Epidemic,1896,1896–1905,"Bombay, India",Bubonic plague,"20,788"
1896–1906 Congo Basin African trypanosomiasis epidemic,Congo Basin African Trypanosomiasis Epidemic,1896,1896–1906,Congo Basin,African trypanosomiasis,"500,000"
1899 Porto plague outbreak,Porto Plague Outbreak,1899,1899,"Porto, Portugal",Bubonic plague,132
Sixth cholera pandemic,Sixth Cholera Pandemic,1899,1899–1923,"Europe, Asia, Africa",Cholera,"800,000+"
San Francisco plague of 1900–1904,San Francisco Plague Of,1900,1900–1904,"San Francisco, United States",Bubonic plague,119
1900 Sydney bubonic plague epidemic,Sydney Bubonic Plague Epidemic,1900,1900,Australia,Bubonic plague,103
1900–1920 Uganda African trypanosomiasis epidemic,Uganda African Trypanosomiasis Epidemic,1900,1900–1920,Uganda,African trypanosomiasis,"200,000–300,000"
Kuru epidemic,Kuru Epidemic,1900,1900's-2009,Papua New Guinea,Kuru,"2,700-3,000+"
1903 India plague epidemic,India Plague Epidemic,1903,1903,India,Bubonic plague,22
1903 Fremantle plague epidemic,Fremantle Plague Epidemic,1903,1903,Fremantle,Bubonic plague,4
Manchurian plague,Manchurian Plague,1910,1910–1911,China,Pneumonic plague,"60,000"
1910 China plague,China Plague,1910,1910–1912,China,Bubonic plague,"40,000"
1915 Encephalitis lethargica pandemic,Encephalitis Lethargica Pandemic,1915,1915–1926,Worldwide,Encephalitis lethargica,1.5 million
1916 United States polio epidemic,United States Polio Epidemic,1916,1916,United States,Poliomyelitis,"7,130"
1918 influenza pandemic ('Spanish flu'),Spanish Flu,1918,1918–1920,Worldwide,Influenza A virus subtype H1N1,17–100 million
,Russia Typhus Epidemic,1918,1918–1922,Russia,Typhus,2.5 million
,Los Angeles Pneumonic Plague Outbreak,1924,1924,"Los Angeles, United States",Pneumonic plague,30
,Minnesota Smallpox Epidemic,1924,1924–1925,"Minnesota, United States",Smallpox,500
,Montreal Typhoid Fever Epidemic,1927,1927,"Montreal, Canada",Typhoid fever,538
,Psittacosis Pandemic,1929,1929-1930,Worldwide,Psittacosis,100+
,Croydon Typhoid Outbreak Of,1937,1937,"Croydon, United Kingdom",Typhoid fever,43
,Australia Polio Epidemic,1937,1937,Australia,Poliomyelitis,
,Sudan Yellow Fever Epidemic,1940,1940,Sudan,Yellow fever,"1,627"
,Egypt Malaria Epidemic,1942,1942–1944,Egypt,Malaria,Unknown
,China Plague Epidemic,1946,1946,China,Bubonic plague,Unknown
,Egypt Relapsing Fever Epidemic,1946,1946,Egypt,Relapsing fever,Unknown
,Egypt Cholera Epidemic,1947,1947,Egypt,Cholera,"10,277"
,United States Polio Epidemic,1948,1948–1952,United States,Poliomyelitis,"9,000"
,Influenza Pandemic ('Asian Flu'),1957,1957–1958,Worldwide,Influenza A virus subtype H2N2,1–4 million
,Ethiopia Yellow Fever Epidemic,1960,1960–1962,Ethiopia,Yellow fever,"30,000"
,Seventh Cholera Pandemic,1961,1961–1975,Worldwide,Cholera (El Tor strain),Unknown
,Hong Kong Flu,1968,1968–1970,Worldwide,Influenza A virus subtype H3N2,1–4 million
,Staphorst Polio Epidemic,1971,1971,"Staphorst, Netherlands",Poliomyelitis,5
,Yugoslav Smallpox Outbreak,1972,1972,Yugoslavia,Smallpox,35
,London Flu,1972,1972–1973,United States,Influenza A virus subtype H3N2,"1,027"
,Italy Cholera El Tor Epidemic,1973,1973,Italy,Cholera (El Tor strain),24
,Smallpox Epidemic Of India,1974,1974,India,Smallpox,"15,000"
,Soviet Flu,1977,1977-78,Worldwide,Influenza A virus subtype H1N1,"10,000 - 30,000"
,Sverdlovsk Anthrax Leak,1979,1979,Russia,Anthrax,105
,Hiv/Aids Pandemic,1981,1981–present (data as of 2018),Worldwide,HIV/AIDS,32 million+ (23.6–43.8 million)
,Western Sahara Plague,1984,1984,Western Sahara,Bubonic plague,64
,Oju Yellow Fever Epidemic,1986,1986,"Oju, Nigeria",Yellow fever,"5,600+"
,Mali Yellow Fever Epidemic,1987,1987,Mali,Yellow fever,145
,Bangladesh Cholera Epidemic,1991,1991,Bangladesh,Cholera,"8,410–9,432"
,Plague In India,1994,1994,India,Bubonic plague and Pneumonic plague,56
,United Kingdom Bse Outbreak,1996,1996–2001,United Kingdom,vCJD,178
,West Africa Meningitus Epidemic,1996,1996,West Africa,Meningitis,"10,000"
,Malaysia Nipah Virus Outbreak,1998,1998–1999,Malaysia,Nipah virus infection,105
,Central America Dengue Epidemic,2000,2000,Central America,Dengue fever,40+
,Nigeria Cholera Epidemic,2001,2001,Nigeria,Cholera,400+
,South Africa Cholera Epidemic,2001,2001,South Africa,Cholera,139
,Sars Outbreak,2002,2002–2004,Worldwide,Severe acute respiratory syndrome (SARS),774
,Algeria Plague Outbreak,2003,2003,Algeria,Bubonic plague,1 (18 cases)
,Avian Influenza Outbreaks In The S,2003,2003–2019,Southeast Asia and Egypt,Influenza A virus subtype H5N1,455
,Afghanistan Leishmaniasis Epidemic,2004,2004,Afghanistan,Leishmaniasis,"0 (3,958 cases)"
,Indonesia Dengue Epidemic,2004,2004,Indonesia,Dengue fever,658
,Senegal Cholera Outbreak,2004,2004,Senegal,Cholera,2
,Sudan Ebola Outbreak,2004,2004,Sudan,Ebola,7
,Dengue Outbreak In Singapore,2005,2005,Singapore,Dengue fever,27
,Luanda Cholera Epidemic,2006,2006,"Luanda, Angola",Cholera,"1,200+"
,Ituri Province Plague Epidemic,2006,2006,"Ituri Province, Democratic Republic of the Congo",Bubonic plague,61
,India Malaria Outbreak,2006,2006,India,Malaria,17
,Dengue Outbreak In India,2006,2006,India,Dengue fever,50+
,Chikungunya Outbreaks,2006,2006,India,Chikungunya virus,Unknown (numerous widespread cases)
,Dengue Outbreak In Pakistan,2006,2006,Pakistan,Dengue fever,50+
,Philippines Dengue Epidemic,2006,2006,Philippines,Dengue fever,"1,000"
,East Africa Rift Valley Fever Outbreak,2006,2006–2007,East Africa,Rift Valley fever,394
,Mweka Ebola Epidemic,2007,2007,Democratic Republic of the Congo,Ebola,187
,Ethiopia Cholera Epidemic,2007,2007,Ethiopia,Cholera,684
,Iraq Cholera Outbreak,2007,2007,Iraq,Cholera,10
,Nigeria Polio Outbreak,2007,2007,Nigeria,Poliomyelitis,Unknown (69 cases)
,"Puerto Rico, Dominican Republic, And Mexico Dengue Fever Epidemic",2007,2007,"Puerto Rico, Dominican Republic, Mexico",Dengue fever,183
,Uganda Ebola Outbreak,2007,2007,Uganda,Ebola,37
,Vietnam Cholera Outbreak,2007,2007,Vietnam,Cholera,2
,Brazil Dengue Epidemic,2008,2008,Brazil,Dengue fever,67
,Cambodia Dengue Epidemic,2008,2008,Cambodia,Dengue fever,407
,Chad Cholera Epidemic,2008,2008,Chad,Cholera,123
,"China Hand, Foot, And Mouth Disease Epidemic",2008,2008–2017,China,"Hand, foot, and mouth disease","3,322+"
,India Cholera Epidemic,2008,2008,India,Cholera,115
,Madagascar Plague Outbreak,2008,2008,Madagascar,Bubonic plague,18+
,Philippines Dengue Epidemic,2008,2008,Philippines,Dengue fever,172
,Zimbabwean Cholera Outbreak,2008,2008–2009,Zimbabwe,Cholera,"4,293"
,Bolivian Dengue Fever Epidemic,2009,2009,Bolivia,Dengue fever,18
,Gujarat Hepatitis Outbreak,2009,2009,India,Hepatitis B,49
,Queensland Dengue Outbreak,2009,2009,"Queensland, Australia",Dengue fever,1+ (503 cases)
,Mumps Outbreaks In The S,2009,2009,Worldwide,Mumps,Unknown
,West African Meningitis Outbreak,2009,2009–2010,West Africa,Meningitis,"1,100"
,Swine Flu Pandemic,2009,2009–2010,Worldwide,Influenza A virus subtype H1N1,"284,000 (possible range 151,700-575,400)"
,S Haiti Cholera Outbreak,2010,2010–2019,Haiti,"Cholera (strain serogroup O1, serotype Ogawa)","10,075"
,Democratic Republic Of The Congo Measles Outbreak,2010,2010–2014,Democratic Republic of the Congo,Measles,"4,500+"
,"Vietnam Hand, Foot And Mouth Disease Epidemic",2011,2011,Vietnam,"Hand, foot and mouth disease",170
,Dengue Outbreak In Pakistan,2011,2011,Pakistan,Dengue fever,350+
,"Yellow Fever Outbreak In Darfur, Sudan",2012,2012,"Darfur, Sudan",Yellow fever,171
,Middle East Respiratory Syndrome Coronavirus Outbreak,2012,2012–present,Worldwide,Middle East respiratory syndrome / MERS-CoV,862 (as of 13 January 2020)
,Dengue Outbreak In Singapore,2013,2013,Singapore,Dengue fever,8
,Vietnam Measles Outbreak,2013,2013–2014,Vietnam,Measles,142
,Western African Ebola Virus Epidemic,2013,2013–2016,"Worldwide, primarily concentrated in Guinea, Liberia, Sierra Leone",Ebola virus disease,"11,323+"
,Chikungunya Outbreak,2013,2013–2015,Americas,Chikungunya,183
, Avian Influenza Epidemic,2013,2013–2019,China,Influenza A virus subtype H7N9,616
,Madagascar Plague Outbreak,2014,2014–2017,Madagascar,Bubonic plague,292
,Odisha Jaundice Outbreak,2014,2014–2015,India,"Primarily Hepatitis E, but also Hepatitis A",36
,Indian Swine Flu Outbreak,2015,2015,India,Influenza A virus subtype H1N1,"2,035"
,Zika Virus Epidemic,2015,2015–2016,Worldwide,Zika virus,53
,Angola And Dr Congo Yellow Fever Outbreak,2016,2016,Angola and DR Congo,Yellow fever,"498 (377 in Angola, 121 in Congo)"
,Yemen Cholera Outbreak,2016,2016–present,Yemen,Cholera,"3,886 (as of 30 November 2019)"
,Dengue Outbreak In Peshawar,2017,2017,"Peshawar, Pakistan",Dengue fever,69
,Gorakhpur Japanese Encephalitis Outbreak,2017,2017,India,Japanese encephalitis,"1,317"
,United States Flu Season,2017,2017–2018,United States,Seasonal influenza,"61,000 (46,000–95,000)"
,Nipah Virus Outbreak In Kerala,2018,2018,India,Nipah virus infection,17
,Kivu Ebola Epidemic,2018,2018–2020,Democratic Republic of the Congo and Uganda,Ebola virus disease,"2,272"
,Measles Outbreak In The Democratic Republic Of The Congo,2019,2019–present,Democratic Republic of the Congo,Measles,"6,400+ (as of April 2020)"
,New Zealand Measles Outbreak,2019,2019–present,New Zealand,Measles,2
,Philippines Measles Outbreak,2019,2019–present,Philippines,Measles,415
,Kuala Koh Measles Outbreak,2019,2019,"Kuala Koh, Malaysia",Measles,15
,Samoa Measles Outbreak,2019,2019–present,Samoa,Measles,83
,Dengue Fever Epidemic,2019,2019–present,"Asia-Pacific, Latin America",Dengue fever,"3,930"
,Covid Pandemic,2019,2019–present,Worldwide,COVID-19,"682,044 (as of 1 August 2020)"
,,,,,SARS-CoV-2 virus,
